Run 1 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order2.vocab | Accuracy: 0.48185720692821904 | Precision: 0.8058711765887254 | Recall: 0.48185720692821904 | F1-score: 0.48841965923217 | Evaluation time: 109.88 seconds
Run 2 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order2.vocab | Accuracy: 0.48185720692821904 | Precision: 0.8058711765887254 | Recall: 0.48185720692821904 | F1-score: 0.48841965923217 | Evaluation time: 225.46 seconds
Run 3 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order2.vocab | Accuracy: 0.48185720692821904 | Precision: 0.8058711765887255 | Recall: 0.48185720692821904 | F1-score: 0.48841965923217007 | Evaluation time: 348.00 seconds
Run 4 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order2.vocab | Accuracy: 0.48185720692821904 | Precision: 0.8058711765887254 | Recall: 0.48185720692821904 | F1-score: 0.48841965923217 | Evaluation time: 473.26 seconds
Run 5 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order2.vocab | Accuracy: 0.48185720692821904 | Precision: 0.8058711765887254 | Recall: 0.48185720692821904 | F1-score: 0.48841965923217007 | Evaluation time: 599.59 seconds
Run 1 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order3.vocab | Accuracy: 0.45037695149819534 | Precision: 0.7145053764481616 | Recall: 0.45037695149819534 | F1-score: 0.47368174627102827 | Evaluation time: 319.59 seconds
Run 2 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order3.vocab | Accuracy: 0.45037695149819534 | Precision: 0.7145053764481616 | Recall: 0.45037695149819534 | F1-score: 0.47368174627102827 | Evaluation time: 641.59 seconds
Run 3 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order3.vocab | Accuracy: 0.45037695149819534 | Precision: 0.7145053764481615 | Recall: 0.45037695149819534 | F1-score: 0.47368174627102827 | Evaluation time: 995.92 seconds
Run 4 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order3.vocab | Accuracy: 0.45037695149819534 | Precision: 0.7145053764481616 | Recall: 0.45037695149819534 | F1-score: 0.47368174627102827 | Evaluation time: 1345.61 seconds
Run 5 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order3.vocab | Accuracy: 0.45037695149819534 | Precision: 0.7145053764481615 | Recall: 0.45037695149819534 | F1-score: 0.47368174627102827 | Evaluation time: 1716.69 seconds
Run 1 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order4.vocab | Accuracy: 0.4487538175682891 | Precision: 0.7163203126984409 | Recall: 0.4487538175682891 | F1-score: 0.48311656327466074 | Evaluation time: 587.93 seconds
Run 2 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order4.vocab | Accuracy: 0.4487538175682891 | Precision: 0.7163203126984409 | Recall: 0.4487538175682891 | F1-score: 0.48311656327466074 | Evaluation time: 1197.35 seconds
Run 3 for 50 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_50_projects/kenln_order4.vocab | Accuracy: 0.4487538175682891 | Precision: 0.716320312698441 | Recall: 0.4487538175682891 | F1-score: 0.48311656327466074 | Evaluation time: 1817.26 seconds
