Run 1 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order2.vocab | Accuracy: 0.4519146573265276 | Precision: 0.8330678137141081 | Recall: 0.4519146573265276 | F1-score: 0.46703995395275955 | Evaluation time: 36.29 seconds
Run 2 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order2.vocab | Accuracy: 0.4519146573265276 | Precision: 0.8330678137141081 | Recall: 0.4519146573265276 | F1-score: 0.46703995395275955 | Evaluation time: 77.45 seconds
Run 3 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order2.vocab | Accuracy: 0.4519146573265276 | Precision: 0.8330678137141083 | Recall: 0.4519146573265276 | F1-score: 0.46703995395275955 | Evaluation time: 121.32 seconds
Run 4 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order2.vocab | Accuracy: 0.4519146573265276 | Precision: 0.8330678137141081 | Recall: 0.4519146573265276 | F1-score: 0.46703995395275955 | Evaluation time: 168.73 seconds
Run 5 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order2.vocab | Accuracy: 0.4519146573265276 | Precision: 0.8330678137141082 | Recall: 0.4519146573265276 | F1-score: 0.4670399539527595 | Evaluation time: 218.57 seconds
Run 1 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order3.vocab | Accuracy: 0.4131730132627128 | Precision: 0.8066006427932517 | Recall: 0.4131730132627128 | F1-score: 0.4502723339606784 | Evaluation time: 106.35 seconds
Run 2 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order3.vocab | Accuracy: 0.4131730132627128 | Precision: 0.8066006427932517 | Recall: 0.4131730132627128 | F1-score: 0.4502723339606784 | Evaluation time: 208.62 seconds
Run 3 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order3.vocab | Accuracy: 0.4131730132627128 | Precision: 0.8066006427932516 | Recall: 0.4131730132627127 | F1-score: 0.4502723339606784 | Evaluation time: 320.85 seconds
Run 4 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order3.vocab | Accuracy: 0.4131730132627128 | Precision: 0.8066006427932517 | Recall: 0.4131730132627128 | F1-score: 0.4502723339606784 | Evaluation time: 437.45 seconds
Run 5 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order3.vocab | Accuracy: 0.4131730132627128 | Precision: 0.8066006427932516 | Recall: 0.4131730132627128 | F1-score: 0.45027233396067845 | Evaluation time: 561.29 seconds
Run 1 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order4.vocab | Accuracy: 0.40640283621297224 | Precision: 0.7876224419100997 | Recall: 0.40640283621297224 | F1-score: 0.4488172988334901 | Evaluation time: 184.89 seconds
Run 2 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order4.vocab | Accuracy: 0.40640283621297224 | Precision: 0.7876224419100997 | Recall: 0.40640283621297224 | F1-score: 0.4488172988334901 | Evaluation time: 370.54 seconds
Run 3 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order4.vocab | Accuracy: 0.40640283621297224 | Precision: 0.7876224419100999 | Recall: 0.40640283621297224 | F1-score: 0.4488172988334901 | Evaluation time: 570.15 seconds
Run 4 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order4.vocab | Accuracy: 0.40640283621297224 | Precision: 0.7876224419100997 | Recall: 0.40640283621297224 | F1-score: 0.4488172988334901 | Evaluation time: 764.09 seconds
Run 5 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order4.vocab | Accuracy: 0.40640283621297224 | Precision: 0.7876224419100998 | Recall: 0.40640283621297224 | F1-score: 0.4488172988334901 | Evaluation time: 964.49 seconds
Run 1 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order5.vocab | Accuracy: 0.42523973261004205 | Precision: 0.785002061858772 | Recall: 0.42523973261004205 | F1-score: 0.4581667424082268 | Evaluation time: 239.45 seconds
Run 2 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order5.vocab | Accuracy: 0.42523973261004205 | Precision: 0.785002061858772 | Recall: 0.42523973261004205 | F1-score: 0.4581667424082268 | Evaluation time: 479.76 seconds
Run 3 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order5.vocab | Accuracy: 0.42523973261004205 | Precision: 0.7850020618587721 | Recall: 0.42523973261004205 | F1-score: 0.4581667424082268 | Evaluation time: 726.34 seconds
Run 4 for 10 projects Vocab name: /media/crouton/siwuchuk/newdir/vscode_repos_files/scratch_models_ngram3/thesis_models/train_models/train_results/kenlm/vocab_10_projects/kenln_order5.vocab | Accuracy: 0.42523973261004205 | Precision: 0.785002061858772 | Recall: 0.42523973261004205 | F1-score: 0.4581667424082268 | Evaluation time: 973.70 seconds
