Node Type,Count
script2 contains nodes such as - when this sprite clicked,6
broadcast <node_value>,64
set <node_variabl e> to <value>,106
script3 contains nodes such as - when i receive <node_value>,18
if <condition> then block,73
hide,116
not <node_variabl e> = <value>,1
second sprite (paper) contains three script - script1 contains nodes such as - when this sprite clicked,1
- script2 contains nodes such as - when i receive <node_value> - if <condition> then block,1
not <node_variabl e> = <value> - script3 contains nodes such as - when flag clicked,2
show,62
third sprite (scissors) contains three scripts - script1 contains nodes such as - when this sprite clicked,1
script2 contains nodes such as - when i receive <node_value>,18
fourth sprite contains 12 scripts - script1 contains nodes such as - when i receive <node_value>,1
custom script call,61
item <value> of <node_list>,34
item <node_value> of <node_list>,30
<node_value> * <value>,7
<node_value> + <value>,39
script4 contains nodes such as - when i receive <node_value> - custom function call,2
wait <value> seconds,28
if <condition> then block else block,24
<node_variabl e> = <value> operator node,1
script5 is a custom script and contains nodes such as - define <nodes_value >,1
create d by <value >,1
descri ption <value >,1
set size to <node_value> %,4
go to <node_value> layer,5
go to x <node_value> y <node_value>,4
<node_value> = <value> operator,2
delete this clone,6
for each <node_value> in <node_value>,6
switch costume to <node_value>,69
join <node_value> <node_value>,15
create clone of <node_value> - change x by <node_value> - change y by <value>,1
script6 contains nodes such as - when i receive <node_value>,2
<node_variabl e> * <value>,28
script7 contains nodes such as - when i receive <node_value>,1
custom function call,1
script8 contains nodes such as - when flag clicked,1
go to x: <value> y:<value>,1
set size to <value> %,2
script9 is a custom function which contains nodes such as - define <node_values >,1
created by <value>,13
description <value>,11
set <node_variabl es> to <value>,2
if <condition> then,7
length of <node_list>,2
length of <node_value>,6
item <node_variabl e> of <node_list>,24
create clone of <node_value> - change x by <node_value>,1
change y by <node_value>,5
letter <node_variabl e> of <node_value>,35
script10 contains nodes such as - when i receive <node_value> - custom script call,1
item <value> of <node_value>,6
script 11 contains nodes such as - when i receive <node_value> - custom script call,1
script12 contains nodes such as - when flag clicked,1
go to x: <value> y: <value>,5
script13 is a custom function which contains nodes such as - define <node_values >,1
set <node_value> to <value>,9
set size to <node> %,1
go to <node> layer,1
go to x: <node_value> y: <node_value>,11
create clone of <node_value>,4
change x by <node_value>,4
<value> - <node_value>,2
item of <node_list>,3
letter <node_value> of <nod_value>,1
<value> + <value>,1
fifth sprite contains seven scripts - script1 contains nodes such as - when i receive <node_value>,1
node_variable,13
script2 is a custom script and contains nodes such as - define <node_values >,1
set <node_variabl e> to <node_value>,40
repeat until <condition>,18
letter of <node_value>,2
<node_value> = <node_value>,8
<node_value> = <value>,19
change <node_variabl e> by <value>,9
script3 is a custom script which contains nodes such as - define <node_values >,1
add <node_value> to <node_list>,2
script4 contains nodes such as - when i receive <node_values > - custom script call,1
script5 is a custom script and contains nodes such as - define <node_values >,1
letter <value> of <node_value>,3
<node_value> =<node_value >,1
item <node_variabl e> of <node_list> - script6 contains nodes such as - when i receive <node_value>,1
node_variable s,19
script7 contains nodes such as - when flag clicked,1
go to x: <value> y: <value> - sixth sprite contains a single script with nodes such as - when flag clicked,1
set <node_variable> to <value>,4
delete all of <nodes_value>,1
not <node_value>,23
<node_value>=<valu e>,5
<node_value> of <node_value>,10
<node_value> and <node_value>,8
add <value> to <node_list>,14
delete all of <node_list>,11
seventh sprite contains 17 scripts - script1 is a custom script that contains the following node changes: - define <node_values >,1
<node_value> > <node_value>,1
<node_value> * <value> - <node_value> = <value>,4
wait until <node_variabl e>,1
broadcast <node_value> - script2 contains the following nodes changes - when i receive <node_value>,1
set volume to <value> %,5
set <node_value> effect to <node_value>,1
play sound <node_value> until done,5
set <node_variabl e> to <value> - <node_variabl e> = <value> - script3 contains the following nodes - when i receive <node_value>,1
node_varible,1
<node_variabl e> = <value>,51
set <node_value> effect to <value> - script4 is a custom script which contains the following nodes - define <node_values >,1
<node_variabl e>=<node_var iable>,2
pick random <node_value> to <node_value>,4
script5 contains the following nodes - when i receive <node_value>,1
node_v ariable,2
script6 is a custom script that contains the following nodes - define <node_values >,1
for each <node_variabl e> in <node_value>,9
length of <node_value> - not <node_value>,1
<node_value> contains <node_value>,3
join <node_values > <node_values >,1
script7 contains the following nodes - when i receive <node_value> - custom script call,1
script8 contains the following nodes - when i receive <node_value>,1
script9 contains the following nodes - when i receive <node_value>,1
script10 is a custom script that contains the following nodes - define <node_values >,1
script11 contains the following nodes - define <node_values >,1
script12 contains the following nodes - when i receive <node_values >,1
script13 contains the following nodes - when i receive <node_variabl e> - set <node_value> to <value>,1
script14 contains the following nodes - when i receive <node_value> - custom script call,2
set <node_variabl e>to <node_value>,1
reset timer,2
<node_variabl e> > value,1
<node_variabl e> = <value> - script15 contains the following nodes - when i receive <node_value>,1
<node_value> > <value> - set <node_variabl e> to <node_value>,3
join <node_value> <value>,5
<node_value> - <value>(1) - script16 contains the following nodes - when flag clicked,1
go to x:<value>y:<v alue>,1
script17 is a custom script and contains the following nodes - define <node_values >,1
change <node_value> by <value>,1
length of <node_variabl e>,6
join <node_variabl e> <node_value>,7
<node_value> - <node_value>,2
script18 contains the following nodes - when i receive <node_value> - custom script call,1
script19 is a custom script that contains nodes such as - define <node_values >,2
length of <node_value> - <node_value> contains <node_value> ?,1
script 20 contains the following node changes - when i receive <node_value>,1
node_v ariable s,3
