Code,Count
addition of functions (i.e. scripts),30
addition of objects (i.e. sprites),26
adding an event node,23
adding motions to sprites,20
introducing event listeners,16
introducing delay to a program,14
changing sprite costumes,14
introducing control flow structure,13
creating and utilizing custom blocks,13
repeating node actions,13
addition of objects (i.e sprites),11
displaying text,11
file renamed,11
api utilization,10
introducing arithmetic operations,10
assigning values to node variables,10
introducing unending iteration,10
adding sounds to sprites,10
introducing logical operators,7
changing node variable value,7
adding motions to sprite,6
introducing decision block,6
comparing node values,6
introducing decision flow,6
controlling sprite appearance,6
introducing sensing,6
user interface improvement,6
addition of functions (i.e scripts),4
adding sound to a sprite,4
introducing decision blocks,4
addition of event nodes,4
changing backdrop costumes,4
introducing functions to a program (i.e. scripts),4
introducing pointers,4
adding iteration to a program,4
introducing iteration to a program,3
changing x coordinate value,3
changing sprite size,3
displaying comments,3
introducing a decision block,3
removing graphics effects,3
adding an interactive node,3
assigning values to node variable,3
introducing comparison operators,3
randomizing node values,3
introducing an unending iteration,3
introducing objects to a program (i.e. sprites),3
adding motion to sprites,3
randomizing values,3
changing y coordinate value,3
adding values to a node list,3
adding sounds to a sprite,3
controlling sprite display,3
creating and utilizing custom scripts,2
selecting value from a node list,2
calculating the length of a node list,2
zooming sprites,2
measuring distance between sprites,2
deleting all elements of a node list,2
concatenation of nodes,2
changing sprite appearance,2
changing node values,2
adding event nodes,2
negating node values,2
comparing two nodes,2
zooming sprites out,2
assigning values to variables,2
repeating nodes actions,2
file renamed without node change,2
controlling the appearance of sprites,2
moving files to a new folder,2
assigning values to a node variable,2
assigning size to sprites,2
introducing mathematical operations,2
introducing iterations to a program,2
zooming out sprites,1
removing graphics,1
changing node effect value,1
changing sprite costume,1
introducing unending iteration to a program,1
assigning values to node effect value,1
assigning size to node values,1
importing api,1
rearrannodenodes positions,1
introducing user interactions in programs,1
addition of motions to sprites,1
removing sounds from sprites,1
stop node,1
adding decision blocks to sprites,1
removing sounds,1
adding decision block,1
addition of an event node,1
rearranging nodes position,1
changing y coordinates of sprites,1
removal of nodes,1
changing x coordinates of sprites,1
controlling sprites appearance,1
removal of objects (i.e. sprites),1
node values change,1
addition of motions to scripts,1
addition of nodes,1
introduction of event listeners,1
introducting objects to a program (i.e. sprites),1
addition of event node,1
changing backdrop costume,1
introducing delay in program,1
introducing delay in programs,1
introducing iteration in program,1
assigning size to nodes,1
repeating actions,1
additon of rotation to sprites,1
addition an event nodes,1
adding disjoint nodes,1
stopping nodes,1
removal of functions (i.e. scripts),1
adding pointers to sprites,1
adjusting sprite volumes,1
displaying variables,1
delete node list,1
adding an iteration to a program,1
introducing an arithmetic operation,1
delete all of node list,1
selecting a value from a node list,1
updating element of a node list,1
stoping node variables,1
create and utilize custom blocks,1
node variable,1
approximate node values,1
changing node size,1
creating and utilizing a custom block,1
introducing condition block,1
file renamed without changes,1
adding sound to sprites,1
hiding node variable,1
introducing arithmetic operation,1
introducing sensing to sprites,1
file renamed without node changes,1
introducing an event listener,1
introducing an unending loop,1
repeating node action,1
assigning values to node value effect,1
changing node value effect,1
adjusting sounds volumes of sprites,1
concatenating nodes,1
updating elements of a node list,1
slicing node values,1
deleting elements of a node list,1
displaying node variable,1
changing backdrops costumes,1
addition of functions to backdrops (i.e scripts),1
introducing delay to program,1
scripts removal,1
assigning values to a variable,1
introducing conditional delay to a program,1
updating a node list value,1
utilizing a node variable,1
changing node variables values,1
slicing through node values,1
changing sprite apperance,1
program redirection,1
accessing an element of a node list,1
updating a node list,1
creating clones of nodes,1
assigning values to variable,1
calculating the lenght of a node list,1
slicing values from a variable,1
change sprite rotation style,1
addition of scripts (i.e. functions),1
slicing node value of node variables,1
repeat node actions conditionally,1
removal of scripts from sprites,1
comparing node variable to a value,1
deleting a sprite clone,1
slicing values from a node variable,1
adding rotations style,1
modullus operation on nodes,1
assigning size to sprite,1
displaying text in sprites,1
stoping a node,1
slicing values of node variables,1
assigning values to nodes effect,1
removing api extensions,1
deleting clone of sprites,1
creating a clone of sprite,1
addition of scripts to backdrops (i.e functions),1
creating clone of node values,1
introducing unending iterations to sprites,1
changing node value,1
adjusting sound volumes of sprites,1
selecting values from a node list,1
concatenating node values,1
assigning value to node value effect,1
changing size value,1
slicing values from node value,1
introducing arithemetic operations,1
updating values in a node list,1
adding motions to a sprite,1
assigning values to x coordinates,1
repeat node actions,1
removing api,1
